data_srlnum,rcrd_tm,x_crdnt,y_crdnt,z_crdnt,yaw_rt,roll_rt,pitch_rt
264,20200909145106.250,-0.851562,0.445312,9.632812,-0.085604,-0.001905,-0.326795
265,20200909145106.299,-1.292969,0.757812,9.707031,-0.085604,-0.001905,-0.326795
266,20200909145106.311,-1.160156,0.937500,9.617188,-0.085675,-0.001308,-0.327997
267,20200909145106.335,-1.015625,0.605469,9.765625,-0.085636,-0.001108,-0.328238
268,20200909145106.353,-1.234375,0.390625,9.699219,-0.085438,-0.000171,-0.329433
269,20200909145106.366,-1.628906,0.578125,10.492188,-0.085233,0.000181,-0.329850
270,20200909145106.414,-0.832031,0.988281,9.496094,-0.084977,0.000612,-0.330567
271,20200909145106.442,-1.101562,0.589844,9.480469,-0.084922,0.000691,-0.330814
272,20200909145106.465,-0.804688,0.386719,10.472656,-0.084642,0.000931,-0.331296
273,20200909145106.485,-1.445312,0.328125,10.421875,-0.084019,0.001433,-0.332632
274,20200909145106.503,-1.281250,0.972656,10.113281,-0.083965,0.001519,-0.333060
275,20200909145106.556,-0.765625,0.667969,8.945312,-0.083776,0.001499,-0.333493
276,20200909145106.582,-1.171875,0.632812,10.074219,-0.083835,0.001507,-0.333864
277,20200909145106.597,-0.960938,0.566406,9.167969,-0.083813,0.001351,-0.334484
278,20200909145106.612,-1.113281,0.847656,9.339844,-0.083726,0.000656,-0.335248
279,20200909145106.639,-0.847656,1.125000,9.929688,-0.083701,0.000477,-0.335324
280,20200909145106.692,-0.992188,0.742188,8.917969,-0.083788,-0.000327,-0.335479
281,20200909145106.711,-0.769531,1.058594,9.367188,-0.083594,-0.000918,-0.335503
282,20200909145106.733,-1.406250,0.867188,10.160156,-0.083368,-0.001262,-0.335457
283,20200909145106.759,-0.769531,1.089844,9.519531,-0.083323,-0.001625,-0.335472
284,20200909145106.779,-1.082031,1.039062,9.648438,-0.083085,-0.003081,-0.335290
285,20200909145106.825,-1.070312,0.835938,9.800781,-0.083015,-0.004186,-0.335146
286,20200909145106.846,-1.335938,1.187500,9.222656,-0.083038,-0.004501,-0.335038
287,20200909145106.866,-0.507812,0.722656,8.992188,-0.083061,-0.004811,-0.335051
288,20200909145106.884,-1.046875,0.804688,10.253906,-0.083115,-0.005378,-0.334893
289,20200909145106.901,-0.964844,0.906250,10.269531,-0.083487,-0.005879,-0.334294
290,20200909145106.951,-1.179688,1.437500,9.777344,-0.083537,-0.005463,-0.334094
291,20200909145106.964,-1.351562,1.171875,9.777344,-0.083376,-0.004772,-0.333944
292,20200909145106.989,-1.000000,1.332031,10.238281,-0.083422,-0.004415,-0.333800
293,20200909145107.005,-0.984375,1.312500,9.867188,-0.083801,-0.002331,-0.333221
294,20200909145107.030,-0.386719,0.941406,9.582031,-0.084161,-0.000919,-0.332730
295,20200909145107.087,-0.582031,0.996094,9.593750,-0.084341,0.000032,-0.332440
296,20200909145107.110,-1.445312,1.222656,10.679688,-0.084582,0.000967,-0.331969
297,20200909145107.133,-0.320312,1.058594,10.074219,-0.084572,0.001879,-0.331688
298,20200909145107.160,-1.156250,1.226562,10.343750,-0.084344,0.003958,-0.330676
299,20200909145107.186,-0.851562,1.292969,9.929688,-0.084018,0.004774,-0.330089
300,20200909145107.232,-0.625000,1.621094,10.335938,-0.083934,0.005084,-0.329894
301,20200909145107.255,-0.234375,1.152344,9.398438,-0.083679,0.005469,-0.329508
302,20200909145107.276,-0.363281,1.207031,10.007812,-0.083054,0.005286,-0.327676
303,20200909145107.293,-0.457031,1.210938,9.812500,-0.083002,0.004842,-0.327202
304,20200909145107.309,-0.847656,1.277344,10.285156,-0.082881,0.004343,-0.326670
305,20200909145107.360,-0.175781,1.371094,9.222656,-0.082752,0.003282,-0.325918
306,20200909145107.378,-0.261719,1.078125,9.332031,-0.082197,0.001257,-0.324404
307,20200909145107.397,0.082031,1.085938,9.660156,-0.081999,0.000645,-0.323876
308,20200909145107.413,-0.050781,0.949219,8.933594,-0.081733,-0.000022,-0.323289
309,20200909145107.444,0.187500,1.265625,9.605469,-0.081597,-0.000645,-0.322693
310,20200909145107.512,0.074219,1.753906,9.468750,-0.081465,-0.001207,-0.322103
311,20200909145107.527,-0.613281,1.074219,9.429688,-0.081364,-0.001516,-0.321752
312,20200909145107.551,-0.121094,1.539062,9.453125,-0.081334,-0.001768,-0.321512
313,20200909145107.576,-0.363281,1.109375,9.535156,-0.081360,-0.002550,-0.320558
314,20200909145107.595,-0.214844,1.058594,9.578125,-0.081390,-0.002812,-0.320258
